"","subdomain-1","subdomain-2","subdomain-3","subdomain-4","subdomain-5","subdomain-6","subdomain-7","subdomain-8","subdomain-9","subdomain-10","subdomain-11","subdomain-12","subdomain-13","subdomain-14"
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_070.swc",12733.9069441199,36898.9129504928,1267.97472418083,26085.0141973313,5045.02343359607,0,0,372.398957990859,11789.0277749713,0,947.503037102158,0,126.482792087482,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_073.swc",3098.424047764,21068.0152129159,7682.0969030521,15292.5484331961,2879.0600611622,639.172068944444,2229.14876483452,0,13663.1544007547,99.7885817129478,2570.28402771712,180.304587426507,316.4200725866,23.9162569159141
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_075.swc",17318.4729926119,20492.137643077,10339.6028840543,48547.766815323,798.263351044762,333.137143241955,307.894855990968,965.379445837296,8284.26425203629,0,1988.19828951726,89.4448133867558,0,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_082.swc",0,202.429778467032,0,1378.0300180685,793.097547322407,0,0,0,0,0,0,0,0,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_084.swc",21012.6431374662,19110.7538286806,14671.2508556675,47553.9660115554,1663.13276070744,214.611443437882,0,0,12032.6565362658,289.831820090345,3155.08341811018,796.929198165968,118.445026964389,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_090.swc",20496.8605370621,12844.080594447,10437.1813099562,29582.9617145987,98.1723294659577,281.137487912175,0,0,10187.2134689947,0,5773.23255564652,0,0,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_109.swc",902.777047729159,1069.49776376791,0,0,18.2078069690876,0,0,1098.52192214951,10022.1846118745,300.878345635508,2537.23333926258,0,769.325568904843,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_115.swc",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_120.swc",0,0,0,0,0,1083.75571813061,0,0,125.039380110451,0,0,0,1148.43090474296,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_123.swc",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17100_130.swc",0,518.888909556155,0,711.901438478007,0,0,0,0,0,0,0,0,0,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17895_000.swc",3000.74129688363,25061.2495693278,8188.97943272302,60625.1333634001,4329.48110901606,151.219472371151,721.484839063156,0,1622.77497854287,0,16.9170150860545,50.7891452594362,0,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17895_003.swc",6673.81475327686,3290.47642203171,0,259.473022598797,20.0373002483523,279.73693771349,0,68.1553438622829,3130.8786905305,0,3419.79068585773,0,0,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17895_004.swc",0,0,0,0,119.9728776095,0,0,674.551070035149,3134.94241494416,0,0,0,72.8324202250513,22.106910429435
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17895_007.swc",0,946.638026772156,0,0,2128.12667109665,5192.47927108791,9072.03460028226,0,2614.46733107825,0,0,0,52.5972547345714,103.59747344298
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17895_010.swc",4824.81460527332,3509.08467331984,0,753.372502034781,0,0,0,0,1871.37386212023,0,0,0,0,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17895_011.swc",8307.87895715215,0,0,0,35.9382894070504,693.237664246064,0,6080.68378232884,5287.02329262848,114.107166965006,3462.12526957594,0,1884.17195548129,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17895_012.swc",1819.77697933514,131.653255282528,70.3749051736578,518.760965409522,0,0,116.596103011127,428.084732677025,930.995535511258,0,2892.93323528548,827.14927514532,0,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17895_013.swc",23.0036434741917,4714.78402916447,0,581.789517292693,0,0,3019.21140600035,4720.4147867184,7644.71225880213,0,540.878629145689,833.085566505859,2055.44731998106,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17895_014.swc",0,0,0,0,0,105.690535980787,0,0,0,0,0,0,0,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17895_016.swc",237.790187213295,3874.49551197264,0,0,149.136116571157,0,0,2093.61746726925,9338.62961704772,0,74.4271012567823,0,0,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17895_018.swc",0,197.163513101733,0,0,383.918884704312,400.722079087664,154.571158804732,1239.250970847,3336.07291803765,0,0,0,519.516753738732,8.52180176671181
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17896_004.swc",635.792297297497,448.068695807831,0,0,608.556838591446,2.2758748479428,0,528.481449126001,2167.81803327998,0,191.233344679036,0,86.936618344665,281.267046067451
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17896_006.swc",3418.78192644596,0,0,0,0,509.626931432728,0,1835.1767261536,375.96385296289,0,0,0,729.58667655425,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17896_012.swc",0,10.4992218730686,0,0,191.554373160919,8794.58521623427,64.8261572838844,586.682259677141,4584.77482642963,0,0,0,8626.224365764,64.801675910553
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17896_019.swc",572.868422057632,1494.16589579211,0,0,1029.84544293225,4836.78624434341,8485.8975264579,15935.2941764584,13834.941500668,0,452.808460549551,0,20747.1305452468,1700.04415056033
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17896_037.swc",0,0,0,0,183.248302099409,737.38241700872,0,0,340.734043870388,0,0,0,474.865346558817,1083.31287592175
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17896_041.swc",0,0,0,0,0,5.45903546860394,0,3633.1208064452,203.405079715576,0,2746.79513048448,0,4015.1966777439,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17896_050.swc",514.934558182735,3693.63895131492,678.947036613295,0,0,1528.31245564266,1416.73031084376,7950.03905490415,6075.74067746572,89.6902315083138,0,0,19965.2245667414,120.594838143276
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17896_051.swc",663.965012755071,0,0,0,0,0,0,751.351771359154,520.047852529906,15.3544816048367,544.564084445488,0,16.5133448972853,219.794705520075
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17896_052.swc",0,0,0,0,301.678283846673,10570.1288723002,5324.8982297463,4438.49666948096,10230.5714961152,0,0,0,12622.8455074475,719.656515782266
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17896_053.swc",250.286625148797,39.7433579491228,0,0,0,2984.09432267749,8847.46804543133,3602.54740002425,3894.30397225461,311.483695366659,69.7456568379471,158.701976967247,4484.52624847115,1741.18523762103
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17896_054.swc",0,0,0,0,0,0,0,0,0,2993.89564821575,633.099180890591,0,0,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17896_056.swc",5714.49786393628,1345.67046564936,0,0,0,169.77757316975,0,358.279137734869,3410.49700154149,0,119.835574740207,0,0,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17897_000.swc",2377.91272720935,5608.52334541397,0,0,277.538813944191,9146.99138536171,917.889041336387,27221.8429490647,21166.2830535746,3717.9489332914,11680.8633713013,0,53404.1145601467,3459.32147434354
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17897_001.swc",11258.330611629,0,0,0,0,539.580563635451,0,1149.31738344466,0,0,0,0,366.657509415103,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17897_018.swc",0,0,0,0,0,246.156360684405,0,2067.04152323062,0,502.918159899519,298.618593122783,0,8284.10245496336,379.291799394243
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17897_025.swc",0,0,0,0,0,0,0,0,0,232.28895144193,0,0,1715.14555871064,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17897_029.swc",0,0,0,0,1655.73957356739,6940.01121859819,298.199096595466,334.147477060418,0,58.3697376900354,453.071533292308,0,4206.21136288038,15.905949386688
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17897_031.swc",129.346157112111,7911.9972175547,0,894.139238465333,1447.025937024,11971.1144527352,16675.6479234265,10753.5271257411,17677.4342308421,180.242675598235,95.5000519088547,5393.11568755727,16738.3288636531,500.973369125536
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17897_034.swc",333.211730928992,0,0,0,0,0,0,9953.71654187972,5397.44455998419,0,329.38185266418,0,1585.63921256793,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17897_035.swc",0,0,0,0,0,0,0,0,0,737.920484375475,0,0,84.1257164550283,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17897_039.swc",0,0,0,0,50.743066653918,1689.95877735517,9699.65000334008,1013.35848942447,3133.38041318414,0,0,0,9072.05942460082,837.729800079308
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17897_044.swc",0,0,0,0,0,1299.94254737048,0,1910.99917777831,1079.37759694807,0,0,0,5590.02944036849,147.115054489246
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17897_046.swc",362.4573560453,12026.3902318519,0,3085.05395508276,1379.39458942063,912.517702417516,0,1727.66103739057,8490.00826687488,0,0,0,2383.2108117873,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17897_048.swc",17896.5639029426,46023.9503936085,1170.80508219241,11240.0769163751,3487.52004955259,430.019998104509,5249.12583887141,550.528027966689,16971.7264743892,0,1963.3010812593,587.374008705725,184.37157683162,0
