"","Hemisphere","ProjectID","AxonType","SWCPath"
"59","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17897_053.swc"
"60","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17897_055.swc"
"61","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17898_003.swc"
"62","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17898_005.swc"
"63","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17898_011.swc"
"64","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17898_025.swc"
"65","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17898_037.swc"
"66","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17898_038.swc"
"67","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17898_043.swc"
"68","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/17898_047.swc"
"69","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_001.swc"
"70","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_002.swc"
"71","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_003.swc"
"72","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_007.swc"
"73","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_016.swc"
"74","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_018.swc"
"75","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_023.swc"
"76","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_024.swc"
"77","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_025.swc"
"78","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_026.swc"
"79","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_027.swc"
"80","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_033.swc"
"81","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_034.swc"
"82","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_036.swc"
"83","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_048.swc"
"84","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_052.swc"
"85","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_053.swc"
"86","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_057.swc"
"87","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_058.swc"
"88","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_061.swc"
"89","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_062.swc"
"90","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_066.swc"
"91","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_069.swc"
"92","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_075.swc"
"93","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_079.swc"
"94","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_087.swc"
"95","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_088.swc"
"96","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_100.swc"
"97","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_101.swc"
"98","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_102.swc"
"99","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_104.swc"
"100","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_106.swc"
"101","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_109.swc"
"102","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_110.swc"
"103","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_112.swc"
"104","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_113.swc"
"105","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_116.swc"
"106","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_117.swc"
"107","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_120.swc"
